지역,대분류,중분류,원본_소계값,leaf_합계,결과,차이,절대차이,상대차이율,원인분류
대전,Ⅰ. 공통사업,"2. 건강하고 능동적인
고령사회(공통)",553877.0,553877.0,일치,0.0,0.0,0.0,일치
대전,Ⅰ. 공통사업,3. 모두의 역량이 고루 발휘되는 사회(공통),11513.0,11513.0,일치,0.0,0.0,0.0,일치
대전,Ⅰ. 공통사업,"4.인구구조 변화에 대한
적응(공통)",28979.0,28980.0,불일치,1.0,1.0,0.0034507746989199074,미세차이(반올림·집계오차 가능)
대전,Ⅱ. 지자체 자체사업,"1. 함께 일하고 함께 돌보는
사회(자체)",70390.0,70394.0,불일치,4.0,4.0,0.0056826253729222904,미세차이(반올림·집계오차 가능)
대전,Ⅱ. 지자체 자체사업,2. 건강하고 능동적인 고령사회 구축(자체),17200.0,17200.0,일치,0.0,0.0,0.0,일치
대전,Ⅱ. 지자체 자체사업,3. 모두의 역량이 고루 발휘되는 사회(자체),71113.0,71114.0,불일치,1.0,1.0,0.0014062126474765513,미세차이(반올림·집계오차 가능)
대전,Ⅱ. 지자체 자체사업,"4.인구구조 변화에 대한
적응(자체)",5834.0,5835.0,불일치,1.0,1.0,0.017140898183064794,미세차이(반올림·집계오차 가능)
울산,Ⅰ. 공통사업,"1. 함께 일하고 함께 돌보는
사회(공통)",521577.0,521577.0,일치,0.0,0.0,0.0,일치
울산,Ⅰ. 공통사업,"2. 건강하고 능동적인
고령사회(공통)",367892.0,367892.0,일치,0.0,0.0,0.0,일치
울산,Ⅰ. 공통사업,"3. 모두의 역량이 고루
발휘되는 사회(공통)",1037.0,1037.0,일치,0.0,0.0,0.0,일치
울산,Ⅰ. 공통사업,"4.인구구조 변화에 대한
적응(공통)",15833.0,15833.0,일치,0.0,0.0,0.0,일치
울산,Ⅱ. 지자체 자체사업,"1. 함께 일하고 함께 돌보는
사회(자체)",34404.0,34404.0,일치,0.0,0.0,0.0,일치
울산,Ⅱ. 지자체 자체사업,"2. 건강하고 능동적인
고령사회 구축(자체)",18058.0,18058.0,일치,0.0,0.0,0.0,일치
울산,Ⅱ. 지자체 자체사업,"3. 모두의 역량이 고루
발휘되는 사회(자체)",18766.0,18766.0,일치,0.0,0.0,0.0,일치
울산,Ⅱ. 지자체 자체사업,"4.인구구조 변화에 대한
적응(자체)",277.0,277.0,일치,0.0,0.0,0.0,일치
세종,Ⅰ. 공통사업,"1. 함께 일하고 함께 돌보는
사회(공통)",51369.0,51368.0,불일치,-1.0,1.0,0.0019466993712161033,미세차이(반올림·집계오차 가능)
세종,Ⅰ. 공통사업,2. 건강하고 능동적인 고령사회(공통),66827.0,66827.0,일치,0.0,0.0,0.0,일치
세종,Ⅰ. 공통사업,"3. 모두의 역량이 고루
발휘되는 사회(공통)",653.0,653.0,일치,0.0,0.0,0.0,일치
세종,Ⅰ. 공통사업,4.인구구조 변화에 대한 적응(공통),369.0,369.0,일치,0.0,0.0,0.0,일치
세종,Ⅱ. 지자체 자체사업,"1. 함께 일하고 함께 돌보는
사회(자체)",17428.0,17428.0,일치,0.0,0.0,0.0,일치
세종,Ⅱ. 지자체 자체사업,2. 건강하고 능동적인 고령사회 구축(자체),3589.0,3589.0,일치,0.0,0.0,0.0,일치
세종,Ⅱ. 지자체 자체사업,"3. 모두의 역량이 고루
발휘되는 사회(자체)",35173.0,35173.0,일치,0.0,0.0,0.0,일치
세종,Ⅱ. 지자체 자체사업,4.인구구조 변화에 대한 적응(자체),59.0,59.0,일치,0.0,0.0,0.0,일치
경기,Ⅰ. 공통사업,"1. 함께 일하고 함께
돌보는 사회(공통)",4095291.0,4095291.0,일치,0.0,0.0,0.0,일치
경기,Ⅰ. 공통사업,"2. 건강하고 능동적인
고령사회(공통)",4032987.0,4032987.0,일치,0.0,0.0,0.0,일치
경기,Ⅰ. 공통사업,"3. 모두의 역량이 고루
발휘되는 사회(공통)",96870.0,96870.0,일치,0.0,0.0,0.0,일치
경기,Ⅰ. 공통사업,"4.인구구조 변화에 대한
적응(공통)",81318.0,81318.0,일치,0.0,0.0,0.0,일치
경기,Ⅱ. 지자체 자체사업,"1. 함께 일하고 함께
돌보는 사회(자체)",607857.0,607857.0,일치,0.0,0.0,0.0,일치
경기,Ⅱ. 지자체 자체사업,"2. 건강하고 능동적인
고령사회 구축(자체)",701400.5,701400.5,일치,0.0,0.0,0.0,일치
경기,Ⅱ. 지자체 자체사업,3. 모두의 역량이 고루 발휘되는 사회(자체),410390.0,410390.0,일치,0.0,0.0,0.0,일치
경기,Ⅱ. 지자체 자체사업,"4.인구구조 변화에 대한
적응(자체)",39700.45,39700.45,일치,0.0,0.0,0.0,일치
강원,Ⅰ. 공통사업,"1. 함께 일하고 함께 돌보는
사회(공통)",474383.0,474383.0,일치,0.0,0.0,0.0,일치
강원,Ⅰ. 공통사업,"2. 건강하고 능동적인
고령사회(공통)",1006706.0,1006706.0,일치,0.0,0.0,0.0,일치
강원,Ⅰ. 공통사업,3. 모두의 역량이 고루 발휘되는 사회(공통),31533.0,31533.0,일치,0.0,0.0,0.0,일치
강원,Ⅰ. 공통사업,"4. 인구구조 변화에 대한
적응(공통)",105606.0,105606.0,일치,0.0,0.0,0.0,일치
강원,Ⅱ. 지자체 자체사업,"1. 함께 일하고 함께 돌보는
사회(자체)",166727.0,166727.0,일치,0.0,0.0,0.0,일치
강원,Ⅱ. 지자체 자체사업,"2. 건강하고 능동적인
고령사회 구축(자체)",143175.0,143175.0,일치,0.0,0.0,0.0,일치
강원,Ⅱ. 지자체 자체사업,"3. 모두의 역량이 고루
발휘되는 사회(자체)",30753.0,30753.0,일치,0.0,0.0,0.0,일치
강원,Ⅱ. 지자체 자체사업,"4.인구구조 변화에 대한
적응(자체)",9458.0,9458.0,일치,0.0,0.0,0.0,일치
충북,Ⅰ. 공통사업,"1. 함께 일하고 함께 돌보는
사회(공통)",485675.0,485675.0,일치,0.0,0.0,0.0,일치
충북,Ⅰ. 공통사업,"2. 건강하고 능동적인
고령사회(공통)",836835.0,836835.0,일치,0.0,0.0,0.0,일치
충북,Ⅰ. 공통사업,"3. 모두의 역량이 고루
발휘되는 사회(공통)",104388.0,104388.0,일치,0.0,0.0,0.0,일치
충북,Ⅰ. 공통사업,"4. 인구구조 변화에 대한
적응(공통)",87485.0,87485.0,일치,0.0,0.0,0.0,일치
충북,Ⅱ. 지자체 자체사업,"1. 함께 일하고 함께 돌보는
사회(자체)",131869.1,131869.06,불일치,-0.04000000000814907,0.04000000000814907,3.0333110643925736e-05,미세차이(반올림·집계오차 가능)
충북,Ⅱ. 지자체 자체사업,"2. 건강하고 능동적인
고령사회 구축(자체)",80910.9,80910.9,일치,0.0,0.0,0.0,일치
충북,Ⅱ. 지자체 자체사업,"3. 모두의 역량이 고루
발휘되는 사회(자체)",129817.7,129355.68,불일치,-462.0200000000041,462.0200000000041,0.355899080017597,원본 소계 불일치
충남,Ⅰ. 공통사업,"1. 함께 일하고 함께 돌보는
사회(공통)",481891.0,481891.0,일치,0.0,0.0,0.0,일치
충남,Ⅰ. 공통사업,2. 건강하고 능동적인 고령사회 구축(공통),406652.0,406652.0,일치,0.0,0.0,0.0,일치
충남,Ⅰ. 공통사업,"3. 모두의 역량이 고루
발휘되는 사회(공통)",22138.0,22138.0,일치,0.0,0.0,0.0,일치
충남,Ⅰ. 공통사업,"4. 인구구조 변화에 대한
적응(공통)",6511.0,6511.0,일치,0.0,0.0,0.0,일치
충남,Ⅱ. 지자체 자체사업,"1. 함께 일하고 함께 돌보는
사회(자체)",173210.0,173212.0,불일치,2.0,2.0,0.0011546677443565615,미세차이(반올림·집계오차 가능)
충남,Ⅱ. 지자체 자체사업,"2. 건강하고 능동적인
고령사회 구축(자체)",47623.0,47624.0,불일치,1.0,1.0,0.0020998257144656993,미세차이(반올림·집계오차 가능)
충남,Ⅱ. 지자체 자체사업,3. 모두의 역량이 고루 발휘되는 사회(자체),113749.0,113750.0,불일치,1.0,1.0,0.000879128607724024,미세차이(반올림·집계오차 가능)
충남,Ⅱ. 지자체 자체사업,"4. 인구구조 변화에 대한
적응(자체)",1256.0,1256.0,일치,0.0,0.0,0.0,일치
전북,Ⅰ. 공통사업,"1. 함께 일하고 함께
돌보는 사회(공통)",419427.0,419427.0,일치,0.0,0.0,0.0,일치
전북,Ⅰ. 공통사업,2. 건강하고 능동적인 고령사회(공통),1286153.0,1286153.0,일치,0.0,0.0,0.0,일치
전북,Ⅰ. 공통사업,"3. 모두의 역량이 고루
발휘되는 사회(공통)",20306.0,20306.0,일치,0.0,0.0,0.0,일치
전북,Ⅰ. 공통사업,4. 인구구조 변화에 대한 적응(공통),80834.0,80834.0,일치,0.0,0.0,0.0,일치
전북,Ⅱ. 지자체 자체사업,"1. 함께 일하고 함께
돌보는 사회(자체)",130276.5,130276.5,일치,0.0,0.0,0.0,일치
전북,Ⅱ. 지자체 자체사업,"2. 건강하고 능동적인
고령사회 구축(자체)",192416.7,192416.749,불일치,0.04899999999906868,0.04899999999906868,2.5465565098595224e-05,미세차이(반올림·집계오차 가능)
전북,Ⅱ. 지자체 자체사업,3. 모두의 역량이 고루 발휘되는 사회(자체),58136.9,58136.9,일치,0.0,0.0,0.0,일치
전북,Ⅱ. 지자체 자체사업,4. 인구구조 변화에 대한 적응(자체),12488.85,12488.85,일치,0.0,0.0,0.0,일치
전남,Ⅰ. 공통사업,"1. 함께 일하고 함께
돌보는 사회(공통)",59592.0,59592.0,일치,0.0,0.0,0.0,일치
전남,Ⅰ. 공통사업,"2. 건강하고 능동적인
고령사회(공통)",1538116.0,1538116.0,일치,0.0,0.0,0.0,일치
전남,Ⅰ. 공통사업,"3. 모두의 역량이 고루
발휘되는 사회(공통)",3649.0,3649.0,일치,0.0,0.0,0.0,일치
전남,Ⅰ. 공통사업,"4. 인구구조 변화에 대한
적응(공통)",28629.0,28629.0,일치,0.0,0.0,0.0,일치
전남,Ⅱ. 지자체 자체사업,"1. 함께 일하고 함께
돌보는 사회(자체)",83051.72,83051.72,일치,0.0,0.0,0.0,일치
전남,Ⅱ. 지자체 자체사업,"2. 건강하고 능동적인
고령사회 구축(자체)",171980.9,171980.9,일치,0.0,0.0,0.0,일치
전남,Ⅱ. 지자체 자체사업,"3. 모두의 역량이 고루
발휘되는 사회(자체)",67604.0,67604.0,일치,0.0,0.0,0.0,일치
전남,Ⅱ. 지자체 자체사업,4. 인구구조 변화에 대한 적응(자체),13769.8,13769.8,일치,0.0,0.0,0.0,일치
경북,Ⅰ. 공통사업,"1. 함께 일하고 함께 돌보는
사회 조성(공통)",737388.0,737388.0,일치,0.0,0.0,0.0,일치
경북,Ⅰ. 공통사업,"2. 건강하고 능동적인
고령사회(공통)",1752918.0,1752918.0,일치,0.0,0.0,0.0,일치
경북,Ⅰ. 공통사업,"3. 모두의 역량이 고루
발휘되는 사회(공통)",17223.0,17223.0,일치,0.0,0.0,0.0,일치
경북,Ⅰ. 공통사업,4.인구구조 변화에 대한 적응(공통),147931.0,147931.0,일치,0.0,0.0,0.0,일치
경북,Ⅱ. 지자체 자체사업,"1. 함께 일하고 함께 돌보는
사회(자체)",476154.0,476154.3,불일치,0.29999999998835847,0.29999999998835847,6.300482616723969e-05,미세차이(반올림·집계오차 가능)
경북,Ⅱ. 지자체 자체사업,"2. 건강하고 능동적인
고령사회 구축(자체)",71660.9,68091.3,불일치,-3569.5999999999913,3569.5999999999913,4.981238025199225,원본 소계 불일치
경남,Ⅰ. 공통사업,"1. 함께 일하고 함께 돌보는
사회(공통)",1532401.0,1532400.8,불일치,-0.19999999995343387,0.19999999995343387,1.3051414085049138e-05,미세차이(반올림·집계오차 가능)
경남,Ⅰ. 공통사업,"2. 건강하고 능동적인
고령사회(공통)",1338090.0,1338090.0,일치,0.0,0.0,0.0,일치
경남,Ⅰ. 공통사업,3. 모두의 역량이 고루 발휘되는 사회(공통),79767.0,79767.0,일치,0.0,0.0,0.0,일치
경남,Ⅰ. 공통사업,4.인구구조 변화에 대한 적응(공통),29433.0,29433.0,일치,0.0,0.0,0.0,일치
경남,Ⅱ. 지자체 자체사업,"1. 함께 일하고 함께 돌보는
사회(자체)",125753.7,125753.7,일치,0.0,0.0,0.0,일치
경남,Ⅱ. 지자체 자체사업,"2. 건강하고 능동적인
고령사회 구축(자체)",33648.0,33647.822,불일치,-0.17799999999988358,0.17799999999988358,0.0005290061816449227,미세차이(반올림·집계오차 가능)
경남,Ⅱ. 지자체 자체사업,"3. 모두의 역량이 고루
발휘되는 사회(자체)",107131.0,107131.5,불일치,0.5,0.5,0.00046671831682706217,미세차이(반올림·집계오차 가능)
경남,Ⅱ. 지자체 자체사업,"4.인구구조 변화에 대한
적응(자체)",9364.32,9364.32,일치,0.0,0.0,0.0,일치
제주,Ⅰ. 공통사업,"1. 함께 일하고 함께
돌보는 사회(공통)",252461.0,252461.0,일치,0.0,0.0,0.0,일치
제주,Ⅰ. 공통사업,"2. 건강하고 능동적인
고령사회(공통)",251256.0,251256.0,일치,0.0,0.0,0.0,일치
제주,Ⅰ. 공통사업,"3. 모두의 역량이 고루
발휘되는 사회(공통)",25138.0,25138.0,일치,0.0,0.0,0.0,일치
제주,Ⅰ. 공통사업,"4.인구구조 변화에 대한
적응(공통)",1810.0,1810.0,일치,0.0,0.0,0.0,일치
제주,Ⅱ. 지자체 자체사업,"1. 함께 일하고 함께
돌보는 사회(자체)",46003.0,46003.0,일치,0.0,0.0,0.0,일치
제주,Ⅱ. 지자체 자체사업,"2. 건강하고 능동적인
고령사회 구축(자체)",57564.0,57564.0,일치,0.0,0.0,0.0,일치
제주,Ⅱ. 지자체 자체사업,3. 모두의 역량이 고루 발휘되는 사회(자체),70222.0,70222.0,일치,0.0,0.0,0.0,일치
제주,Ⅱ. 지자체 자체사업,"4.인구구조 변화에 대한
적응(자체)",60.0,60.0,일치,0.0,0.0,0.0,일치
